indent,Characteristic,Diet,Exercise,Combination,P
0,Overall N,73 (100%),71 (100%),56 (100%),
1,,,,,
0,Age (Years),,,,0.112*
1,N,73,71,56,
1,Mean (SD),41.4 (13.57),49.8 (19.11),41.2 (12.60),
1,Median,41,43,44.5,
1,Range,"18.0, 65.0","18.0, 65.0","19.0, 63.0",
1,,,,,
0,"Sex, n (%)",,,,0.2653**
1,Female,40 (54.8%),32 (45.1%),33 (58.9%),
1,Male,33 (45.2%),39 (54.9%),23 (41.1%),
1,,,,,
0,"Race, n (%)",,,,0.8426**
1,Asian,14 (19.2%),12 (16.9%),11 (19.6%),
1,Black or African American,14 (19.2%),11 (15.5%),7 (12.5%),
1,Not Reported,17 (23.3%),16 (22.5%),14 (25.0%),
1,Pacific Islander,16 (21.9%),12 (16.9%),10 (17.9%),
1,White,12 (16.4%),20 (28.2%),14 (25.0%),
1,,,,,
0,"Smoking, n (%)",,,,0.3734**
1,Current,24 (32.9%),18 (25.4%),14 (25.0%),
1,Former,22 (30.1%),32 (45.1%),25 (44.6%),
1,Never,27 (37.0%),21 (29.6%),17 (30.4%),
1,,,,,
0,"Number of Chronic Diseases, n (%)",,,,-9999
1,1,19 (26.0%),14 (19.7%),18 (32.1%),
1,2,25 (34.2%),29 (40.8%),14 (25.0%),
1,3+,29 (39.7%),28 (39.4%),24 (42.9%),
1,,,,,
0,"Prior Cancer, n (%)",,,,0.9112**
1,No,36 (49.3%),33 (46.5%),28 (50.0%),
1,Yes,37 (50.7%),38 (53.5%),28 (50.0%),
